prático,practical
o satélite,satellite
o decreto,decree
o cuidado,care
biológico,biological
o sócio,partner
o vaqueiro,cowboy
o mineral,mineral
o chapéu,hat
a conservação,conservation
a cerâmica,ceramics
castigar,to punish (usually physical)
digno,"honorable, worthy"
o visitante,visitor
o verbo,verb
frente,ahead
a alteração,alteration
a cerveja,beer
institucional,institutional
a umidade,humidity
a libra,pound
brilhante,bright
o prefeito,mayor
apartar,separate things that touch
crescente,growing
socialista,socialist
perigoso,dangerous
o oceano,ocean
a amizade,friendship
alheio,alien
o laboratório,laboratory
a solidão,"solitude, loneliness"
a sessão,session
lindo,"beautiful, pretty"
o símbolo,symbol
infantil,children's
o custo,cost
muitíssimo,"a lot, very much indeed"
perceber,"to realize, perceive, understand"
promover,to promote
gozar,"to take pleasure from, enjoy,"
denunciar,"to make an official complaint, report"
a busca,search
o teto,ceiling
o vírus,virus
essencial,essential
merecer,to deserve
algum,"any, one"
agrícola,agricultural
a estrada,road
a fome,hunger
pobre,poor
a resistência,resistance
o salvador,savior (religious sense)
satisfazer,to satisfy
o oeste,west
enrolar,"to roll up, wrap up"
o critério,criterion
o frio,cold
universal,universal
o clube,club
o exercício,exercise
a juventude,youth
russo,Russian
o procedimento,"procedure, proceedings"
mediado,half-way through
o dente,tooth
etcétera,et cetera
comunicar,to communicate
a confiança,confidence
acudir,"to help in emergency, rescue someone"
tanto como,as much as
a feição,"form, shape, features"
a caída,fall
o cliente,"customer, client"
o canto,singing
o protesto,protest
qualificar,"to grade, evaluate"
a compra,purchase
a profundidade,depth
regional,regional
a humanidade,humanity
o aeroporto,airport
o imposto,tax
contínuo,continuous
a roda,wheel
poderoso,powerful
derivar,to derive
violento,violent
a Venezuela,Venezuela
o salário,salary
elaborar,"to produce, prepare, make"
o muro,boundary wall
organizado,organized
a catedral,cathedral
o vazio,void
latino,latin
o núcleo,core
o cheiro,smell
a capa,layer
a droga,drug (usually recreational)
o leão,lion
transmitir,to transmit
legislativo,legislative
o soldado,soldier
o branco,white
seguramente,"surely, certainly, safely"
o sorriso,smile
eliminar,to eliminate
o continente,continent
a casa,house
a sexta-feira,Friday
conceder,"to grant, accord or bestow"
sexual,sexual
a temporada,season
tranquilo,tranquil
a medicina,medicine (the science of)
a bolsa,"bag, purse"
arrastar,to drag
o descobrimento,discovery
positivo,positive
o responsável,the one responsible for something
proceder,to follow a bureaucratic procedure
o pátio,courtyard
o sábado,Saturday
o moral,"morale, sense of morality"
o gasto,"expense, expenditure"
mesmo,"same; very (as in ""the very one"")"
até,until
o quilômetro,kilometer
a impressão,impression
influenciar,to influence
a norma,norm
o ritmo,"rate, rhythm"
o emprego,employment
a colônia,colony
diretamente,directly
o camponês,peasant
adequado,"appropriate, suitable, adequate"
acusar,to accuse
judicial,judicial
a volta,"return, lap, bend"
o empresário,"entrepreneur, business owner"
localizar,to locate
original,original
pintar,to paint
o Paraguai,Paraguay
magnético,magnetic
melhor,better
cinza,grey
substituir,"to substitute, exchange, replace"
agitar,"to shake, agitate"
o assento,seat
absorver,to absorb
Berlin,Berlin
queixar-se,"to complain, moan"
tremer,"to shake, tremble, shiver"
sublinhar,to underline
o inseto,insect
a mentira,lie
o sudeste,southeast
a evidência,evidence
a feira,"fair, open market"
o contexto,context
formular,to formulate
o seguidor,follower
agradável,"pleasant, agreeable"
exceto,except
consciente,conscious
o renascimento,renaissance
radical,radical
julgar,"to judge, give considered opinion"
fumar,to smoke
sujo,dirty
o perdão,forgiveness
pintado,painted
a cerimônia,ceremony
disparar,"to go off (gun, run away)"
a tumba,grave
a chave,key
a especialista,specialist
criticar,to criticize
o combate,combat
o capítulo,chapter
circular,to circulate
grosso,thick
justificar,to justify
a consulta,"consultation, appointment with doctor, lawyer etc"
o combustível,fuel
o azeite,olive
a combinação,combination
a camisa,shirt
cansado,tired
a escrita,writing
a possessão,possession
a identidade,identity
duvidar,to doubt
efetivo,effective
o máximo,maximum
múltiplo,multiple
adiantar,"to advance, bring forward"
material,material
lentamente,slowly
a pista,dance floor
formal,formal
confessar,to confess
o mapa,map
brilhar,to shine
a oração,prayer
penetrar,"to penetrate, break into"
a utilização,"utilisation, use"
boliviano,bolivian
o cantor,singer
a Áustria,Austria
a facilidade,ease
de repente,suddenly
a ilusão,illusion
o humor,mood
a mistura,mixture
encantar,"to bewitch, enchant, charm"
inaugurar,to inaugurate
precioso,precious
prolongar,to prolong
especializado,specialized
sobreviver,to survive
soltar,"to release, let go"
correto,correct
agarrar,to grab
a coalizão,coalition
a torre,tower
calar,to shut up
o automóvel,"car, automobile"
armado,armed
parlamentário,parliamentary
o louco,madman
ignorar,to ignore
o ouvido,ear (inner)
designar,"to designate, appoint"
o fracasso,total failure
o depósito,deposit
comparar,to compare
naturalmente,naturally
monetário,monetary
inspirar,"to inspire, inhale"
a resolução,resolution
o campeonato,championship
girar,"to spin, revolve"
a frase,sentence (words)
aéreo,aerial (not antenna)
o torneio,tournament
a escala,scale
a segunda-feira,Monday
mas,but
a vontade,"desire, will"
a mensagem,message
gravar,to record
a potência,"strength, potency"
o futebol,soccer
Barcelona,Barcelona
o desenho,drawing
geralmente,generally
o marco,door frame
Londres,London
manejar,"to handle, manage"
a substância,substance
o espelho,mirror
o benefício,benefit
estimar,to estimate
a agência,agency
o músico,musician
o vidro,glass (not drinking)
o componente,component
evidentemente,evidently
a escada,"(flight of) stairs, staircase; ladder"
perdoar,"to forgive, to pardon"
o impulso,impulse
detectar,to detect
a dama,lady
vincular,"link, to attach or bind"
a disciplina,discipline
a federação,federation
primitivo,primitive
pronunciar,to pronounce
divino,divine
falecer,"to die, pass away"
secundário,secondary
a aventura,adventure
poético,poetic
a beira,edge
o crime,crime
Cristo,Christ
o concurso,contest
beijar,to kiss
a Grécia,Greece
o sacerdote,priest
extenso,extensive
arrumar,"to tidy up, rearrange"
a rota,route
voar,to fly
a direita,right side
a conclusão,conclusion
o fiscal,"inspector, supervisor, examiner"
o segredo,secret
externo,external
a derrota,defeat
descender de,to descend from
supremo,supreme
mínimo,minimum
a esquina,street corner
a seção,section
Washington,Washington
o retrato,portrait
habitual,"habitual, regular"
a exceção,exception
ampliar,to enlarge; expand
a soma,sum
novamente,again
praticar,to practice
sonhar,"to daydream, dream"
lento,slow
a atuação,performance
as férias,"holidays, vacation"
a totalidade,whole
favorável,favorable
a dependência,dependence
igualmente,"equally, likewise, also"
juntar,"to join, gather, to put together"
a infecção,infection
redondo,"round, plump"
a expedição,expedition
o cálculo,calculation
abordar,"to approach, broach, grapple"
a integração,integration
o orgulho,pride
o sacrifício,sacrifice
geográfico,geographic
a contaminação,contamination
o tubo,tube
contratar,"to contract, make agreement"
o chinês,Chinese
imprimir,to print
gordo,fat
palestino,palestinian
o arroz,rice
a estância,"estate, ranch"
dourado,golden gilt (colour)
o raio,ray
o círculo,circle
ameaçar,to threaten
Sevilha,Seville
a cadeira,chair
a chegada,arrival
a liga,league
o contrato,"contract, agreement"
feliz,happy
o lago,lake
a reserva,reservation
o espetáculo,"show, spectacle"
terrível,terrible
a surpresa,surprise
a personalidade,personality
a beleza,beauty
o templo,temple
o discurso,speech
fugir,to flee
nervoso,nervous
fixo,fixed
bastar,to be enough
combinar,to combine
notável,"notable, remarkable"
a missão,mission
admirar,to admire
consumir,"consume, to eat away, use up"
o coro,choir
a fita,"ribbon, tape"
o cigarro,cigarette
brindar,to drink a toast
asiático,asian
a fibra,fiber
a tragédia,tragedy
passar,to pass; to spend (time)
o experimento,experiment
aguentar,"to bear, withstand"
o rumo,"bearing, course"
justamente,"fairly, justly,exactly"
